Gamma,Cost,Accuracy,Error
0.5,3,0.76,0.24
0.5,4,0.7592,0.24080000000000001
0.5,5,0.7596,0.24039999999999995
0.5,6,0.758,0.242
0.5,7,0.7528,0.24719999999999998
0.5,8,0.7536,0.24639999999999995
0.5,9,0.7524,0.24760000000000004
0.5,10,0.7504,0.24960000000000004
0.5,11,0.748,0.252
0.5,12,0.7488,0.2512
0.5,13,0.7488,0.2512
0.5,14,0.7476,0.25239999999999996
0.5,15,0.7472,0.2528
0.5,16,0.7472,0.2528
0.5,17,0.7476,0.25239999999999996
0.5,18,0.7464,0.25360000000000005
0.5,19,0.7468,0.2532
0.5,20,0.7472,0.2528
0.5,21,0.748,0.252
0.5,22,0.7476,0.25239999999999996
0.5,23,0.7468,0.2532
0.5,24,0.746,0.254
0.5,25,0.746,0.254
0.5,26,0.746,0.254
0.5,27,0.7468,0.2532
0.5,28,0.7464,0.25360000000000005
0.5,29,0.7452,0.2548
0.5,30,0.7448,0.2552
0.5,31,0.7444,0.25560000000000005
0.5,32,0.7444,0.25560000000000005
0.5,33,0.7444,0.25560000000000005
0.5,34,0.7432,0.25680000000000003
0.5,35,0.7424,0.25760000000000005
0.5,36,0.7428,0.2572
0.5,37,0.7428,0.2572
0.5,38,0.742,0.258
0.5,39,0.7416,0.25839999999999996
0.5,40,0.7424,0.25760000000000005
0.5,41,0.7416,0.25839999999999996
0.5,42,0.7424,0.25760000000000005
0.5,43,0.7424,0.25760000000000005
0.5,44,0.7416,0.25839999999999996
0.5,45,0.7416,0.25839999999999996
0.5,46,0.7416,0.25839999999999996
0.5,47,0.7416,0.25839999999999996
0.5,48,0.7412,0.25880000000000003
0.5,49,0.7412,0.25880000000000003
0.5,50,0.7416,0.25839999999999996
0.5,51,0.7416,0.25839999999999996
0.5,52,0.7424,0.25760000000000005
0.5,53,0.742,0.258
0.5,54,0.742,0.258
0.5,55,0.7416,0.25839999999999996
0.5,56,0.7404,0.25960000000000005
0.5,57,0.7404,0.25960000000000005
0.5,58,0.74,0.26
0.5,59,0.7396,0.26039999999999996
0.5,60,0.7396,0.26039999999999996
0.5,61,0.7392,0.26080000000000003
0.5,62,0.7388,0.2612
0.5,63,0.7388,0.2612
0.5,64,0.7392,0.26080000000000003
0.5,65,0.7388,0.2612
0.5,66,0.7388,0.2612
0.5,67,0.7384,0.26160000000000005
0.5,68,0.7388,0.2612
0.5,69,0.7376,0.26239999999999997
0.5,70,0.7376,0.26239999999999997
0.5,71,0.738,0.262
0.5,72,0.738,0.262
0.5,73,0.738,0.262
0.5,74,0.738,0.262
0.5,75,0.7384,0.26160000000000005
0.5,76,0.7384,0.26160000000000005
0.5,77,0.738,0.262
0.5,78,0.7376,0.26239999999999997
0.5,79,0.7376,0.26239999999999997
0.5,80,0.7376,0.26239999999999997
0.5,81,0.7376,0.26239999999999997
0.5,82,0.7376,0.26239999999999997
0.5,83,0.7368,0.2632
0.5,84,0.7364,0.26359999999999995
0.5,85,0.7364,0.26359999999999995
0.5,86,0.7364,0.26359999999999995
0.5,87,0.7364,0.26359999999999995
0.5,88,0.7364,0.26359999999999995
0.5,89,0.736,0.264
0.5,90,0.736,0.264
0.5,91,0.736,0.264
0.5,92,0.736,0.264
0.5,93,0.7364,0.26359999999999995
0.5,94,0.736,0.264
0.5,95,0.736,0.264
0.5,96,0.736,0.264
0.5,97,0.736,0.264
0.5,98,0.736,0.264
0.5,99,0.736,0.264
0.5,100,0.7364,0.26359999999999995
